player,shot_type,hit_type,hit_court_side,bounce_court_side,bounce_location_long,hit_velocity_x,hit_velocity_y,hit_velocity_z,bounce_y
host,none,feed,near,far,no_mans_land,5.812,5.812,5.812,19.743
host,none,ground_stroke,near,far,no_mans_land,1.326,25.472,0.951,19.05
host,none,ground_stroke,near,far,service_box,-1.949,26.201,-0.532,17.186
host,none,ground_stroke,near,far,no_mans_land,-0.96,15.775,3.397,19.129
host,none,ground_stroke,near,far,no_mans_land,-1.992,14.365,5.49,20.894
guest,none,ground_stroke,far,near,no_mans_land,20.921,20.921,20.921,1.899
host,none,ground_stroke,near,far,no_mans_land,-0.692,19.198,4.57,20.799
host,none,ground_stroke,far,near,service_box,-2.311,-33.481,-2.549,6.803
guest,none,ground_stroke,near,far,no_mans_land,1.037,15.227,4.635,18.629
host,none,feed,far,near,service_box,5.588,5.588,5.588,7.268
guest,none,ground_stroke,near,far,no_mans_land,19.312,19.312,19.312,19.016
host,first_serve,first_serve,far,near,service_box,31.382,31.382,31.382,6.147
guest,return,ground_stroke,near,far,no_mans_land,1.998,15.36,6.169,20.621
host,serve_plus_one,ground_stroke,far,near,service_box,3.87,-19.58,2.561,6.468
guest,return_plus_one,ground_stroke,near,far,no_mans_land,-4.638,20.233,4.615,20.01
host,in_play,ground_stroke,far,near,no_mans_land,16.093,16.093,16.093,1.298
guest,none,ground_stroke,near,far,no_mans_land,-5.51,19.697,4.112,19.017
guest,none,ground_stroke,near,near,service_box,-0.688,18.223,3.603,5.886
guest,none,ground_stroke,near,far,service_box,0.34,30.283,4.198,17.871
host,none,ground_stroke,far,near,no_mans_land,-1.477,-21.395,0.51,4.61
guest,none,ground_stroke,near,far,no_mans_land,1.02,17.959,5.329,21.604
host,none,ground_stroke,far,near,no_mans_land,-1.722,-22.831,1.384,1.547
guest,none,ground_stroke,near,near,service_box,0.749,9.569,8.591,6.065
guest,first_serve,first_serve,near,near,service_box,-0.534,19.539,1.589,11.801
guest,second_serve,second_serve,near,far,service_box,-2.726,22.635,0.625,17.985
host,return,ground_stroke,far,near,no_mans_land,1.809,-13.926,6.22,3.503
guest,serve_plus_one,ground_stroke,near,far,no_mans_land,2.523,19.936,4.623,20.464
host,return_plus_one,ground_stroke,far,near,no_mans_land,-1.604,-26.196,2.92,2.215
guest,in_play,ground_stroke,near,far,no_mans_land,1.394,18.614,5.187,22.209
guest,in_play,ground_stroke,near,far,service_box,1.056,17.707,2.802,17.469
guest,first_serve,first_serve,near,near,service_box,2.66,23.692,-0.814,5.507
guest,second_serve,second_serve,near,far,no_mans_land,3.346,30.912,-0.661,20.216
host,return,ground_stroke,far,near,service_box,-4.035,-20.081,3.038,7.092
guest,serve_plus_one,ground_stroke,near,near,service_box,1.918,14.362,3.985,5.963
guest,first_serve,first_serve,near,far,service_box,-2.422,23.525,0.491,17.778
host,none,feed,far,near,no_mans_land,5.364,5.364,5.364,3.612
guest,none,ground_stroke,near,far,service_box,-4.537,17.853,3.421,17.655
guest,first_serve,first_serve,near,near,service_box,-1.323,34.49,1.092,5.963
guest,return,ground_stroke,near,far,out,-0.047,19.62,5.313,23.995
guest,first_serve,first_serve,near,far,no_mans_land,2.065,26.294,0.72,20.894
host,return,ground_stroke,far,near,out,0.231,-16.409,6.336,-0.533
guest,serve_plus_one,ground_stroke,near,far,no_mans_land,-0.297,12.223,10.186,21.482
host,none,ground_stroke,far,near,no_mans_land,0.301,-19.628,2.511,0.7
guest,none,ground_stroke,near,far,no_mans_land,0.755,15.158,7.064,21.419
host,none,ground_stroke,far,far,service_box,2.778,-14.94,3.913,16.734
guest,first_serve,first_serve,near,far,no_mans_land,0.26,26.093,0.856,20.767
host,return,ground_stroke,far,near,no_mans_land,-0.027,-13.497,5.726,5.027
guest,serve_plus_one,ground_stroke,near,near,no_mans_land,18.507,18.057,18.507,5.042
guest,first_serve,first_serve,near,far,no_mans_land,-3.106,28.525,-0.144,19.545
guest,second_serve,second_serve,near,far,no_mans_land,-2.088,25.698,0.788,21.208
host,return,ground_stroke,far,near,no_mans_land,5.449,-26.205,0.803,5.336
guest,serve_plus_one,ground_stroke,near,near,service_box,-4.221,22.185,0.406,10.334
guest,first_serve,first_serve,near,far,no_mans_land,0.436,29.482,-0.73,19.419
host,return,ground_stroke,far,far,service_box,-1.248,-11.96,6.024,17.96
guest,serve_plus_one,ground_stroke,near,near,service_box,-0.088,5.942,5.932,6.622
guest,return_plus_one,ground_stroke,near,near,service_box,1.509,12.353,5.322,5.527
guest,none,ground_stroke,near,near,service_box,2.254,11.34,6.263,5.774
guest,first_serve,first_serve,near,far,no_mans_land,-0.75,28.069,0.562,20.735
guest,second_serve,second_serve,near,far,no_mans_land,-0.045,22.199,1.552,18.966
host,return,ground_stroke,far,near,service_box,-2.618,-23.067,1.237,5.886
guest,serve_plus_one,ground_stroke,near,far,no_mans_land,0.375,18.963,5.563,22.76
guest,return_plus_one,ground_stroke,near,far,no_mans_land,-0.03,19.896,4.419,21.085
guest,none,ground_stroke,near,far,no_mans_land,-2.483,21.448,3.829,21.761
host,none,ground_stroke,far,near,no_mans_land,-3.046,-27.612,1.472,3.041
guest,none,ground_stroke,near,far,no_mans_land,0.609,16.062,5.441,18.901
host,none,ground_stroke,near,far,no_mans_land,-0.426,17.933,3.781,18.686
host,none,ground_stroke,near,far,no_mans_land,1.403,17.177,4.534,18.945
host,none,ground_stroke,near,near,service_box,-2.786,19.394,5.242,5.581
host,none,ground_stroke,near,far,out,-1.782,15.904,7.132,24.04
host,none,ground_stroke,near,near,out,0.857,9.406,5.187,-1.805
host,none,ground_stroke,near,near,service_box,0.453,14.007,2.555,5.625
host,none,ground_stroke,near,far,no_mans_land,1.183,17.861,6.028,22.771
host,none,ground_stroke,near,far,service_box,-0.557,15.223,4.466,17.677
host,none,ground_stroke,near,near,out,1.935,10.224,2.514,-1.701
guest,second_serve,second_serve,far,near,service_box,25.571,25.571,25.571,6.068
host,return,ground_stroke,near,far,service_box,-1.012,16.735,3.456,17.974
